,prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg,junyi_code,level,learning_content,pre_code,para_code,theme,topic
4,一年級,長度,N-1-5,二年級,容量、重量、面積,N-2-12,N-1-5,主題,"長度（同S-1-1）:以操作活動為主。初步認識、直接比較、間接比較（含
 個別單位）。",,"N-1-1,N-1-2,S-1-1",N,
4,一年級,長度,N-1-5,二年級,直尺操作,S-2-3,N-1-5,主題,"長度（同S-1-1）:以操作活動為主。初步認識、直接比較、間接比較（含
 個別單位）。",,"N-1-1,N-1-2,S-1-1",N,
5,一年級,日常時間用語,N-1-6,二年級,鐘面的時刻,N-2-13,N-1-6,主題,日常時間用語：以操作活動為主。簡單日期報讀「幾月幾日」；「明天」、「今天」、「昨天」；「上午」、「中午」、「下午」、「晚上」。簡單時刻報讀「整點」與「半點」。,,N-1-1,N,
5,一年級,日常時間用語,N-1-6,二年級,時間,N-2-14,N-1-6,主題,日常時間用語：以操作活動為主。簡單日期報讀「幾月幾日」；「明天」、「今天」、「昨天」；「上午」、「中午」、「下午」、「晚上」。簡單時刻報讀「整點」與「半點」。,,N-1-1,N,
6,一年級,長度,S-1-1,二年級,長度,N-2-11,S-1-1,主題,長度（同N-1-5）：以操作活動為主。初步認識、直接比較、間接比較（含個別單位）。,,N-1-5,S,
7,一年級,形體的操作,S-1-2,二年級,物體之幾何特徵,S-2-1,S-1-2,主題,形體的操作：以操作活動為主。描繪、複製、拼貼、堆疊。,,D-1-1,S,
7,一年級,形體的操作,S-1-2,二年級,簡單幾何形體,S-2-2,S-1-2,主題,形體的操作：以操作活動為主。描繪、複製、拼貼、堆疊。,,D-1-1,S,
8,一年級,算式與符號,R-1-1,二年級,乘法,N-2-6,R-1-1,主題,算式與符號：含加減算式中的數、加號、減號、等號。以說、讀、聽、寫、做檢驗學生的理解。適用於後續階段。,,N-1-2,R,
8,一年級,算式與符號,R-1-1,二年級,單位分數的認識,N-2-10,R-1-1,主題,算式與符號：含加減算式中的數、加號、減號、等號。以說、讀、聽、寫、做檢驗學生的理解。適用於後續階段。,,N-1-2,R,
8,一年級,算式與符號,R-1-1,二年級,大小關係與遞移律,R-2-1,R-1-1,主題,算式與符號：含加減算式中的數、加號、減號、等號。以說、讀、聽、寫、做檢驗學生的理解。適用於後續階段。,,N-1-2,R,
9,一年級,兩數相加的順序不影響其和,R-1-2,二年級,三數相加，順序改變不影響其和,R-2-2,R-1-2,主題,兩數相加的順序不影響其和：加法交換律。可併入其他教學活動。備註：先用「併加型」（合成型）情境說明，再應用於其他情境。不出現「加法交換律」一詞。,,"N-1-2,N-1-3",R,
10,一年級,簡單分類,D-1-1,二年級,分類與呈現,D-2-1,D-1-1,主題,簡單分類：以操作活動為主。能蒐集、分類、記錄、呈現日常生活物品，報讀、說明已處理好之分類。觀察分類的模式，知道同一組資料可有不同的分類方式。,,"N-1-1,N-1-2,S-1-2",D,
11,二年級,一千以內的數,N-2-1,三年級,一萬以內的數,N-3-1,N-2-1,主題,一千以內的數：含位值積木操作活動。結合點數、位值表徵、位值表。位值單位「百」。位值單位換算。,"N-1-1,N-2-5","N-2-2,N-2-5,R-2-1,N-2-4",N,
12,二年級,加減算式與直式計算,N-2-2,三年級,加減直式計算,N-3-2,N-2-2,主題,加減算式與直式計算：用位值理解多位數加減計算的原理與方法。初期可操作、橫式、直式等方法並陳，二年級最後歸結於直式計算，做為後續更大位數計算之基礎。直式計算的基礎為位值概念與基本加減法，教師須說明直式計算的合理性。,"N-1-2,N-1-3,N-2-5","N-2-1,N-2-3,N-2-4,N-2-8",N,
13,二年級,加減應用問題,N-2-3,,,,N-2-3,主題,解題：加減應用問題。加數、被加數、減數、被減數未知之應用解題。連結加與減的關係（R-2-4）。,"N-1-2,N-1-3","N-2-2,R-2-4",N,
14,二年級,簡單加減估算,N-2-4,三年級,四則估算,N-3-8,N-2-4,主題,解題：簡單加減估算。具體生活情境。以百位數估算為主。,"N-1-2,N-2-5","N-2-1,N-2-2,N-2-5",N,
15,二年級,100元、500元、1000元,N-2-5,二年級,一千以內的數,N-2-1,N-2-5,主題,解題：100元、500元、1000元。以操作活動為主兼及計算。容許多元策略，協助建立數感。包含已學習之更小幣值。,N-1-4,"N-1-4,N-2-1,N-2-4",N,
15,二年級,100元、500元、1000元,N-2-5,二年級,加減算式與直式計算,N-2-2,N-2-5,主題,解題：100元、500元、1000元。以操作活動為主兼及計算。容許多元策略，協助建立數感。包含已學習之更小幣值。,N-1-4,"N-1-4,N-2-1,N-2-4",N,
15,二年級,100元、500元、1000元,N-2-5,二年級,簡單加減估算,N-2-4,N-2-5,主題,解題：100元、500元、1000元。以操作活動為主兼及計算。容許多元策略，協助建立數感。包含已學習之更小幣值。,N-1-4,"N-1-4,N-2-1,N-2-4",N,
16,二年級,乘法,N-2-6,三年級,乘以一位數,N-3-3,N-2-6,主題,乘法：乘法的意義與應用。在學習乘法過程，逐步發展「倍」的概念，做為統整乘法應用情境的語言。,"N-1-2,R-1-1","N-2-7,N-2-8,N-2-9,R-2-3",N,
16,二年級,乘法,N-2-6,三年級,除法,N-3-4,N-2-6,主題,乘法：乘法的意義與應用。在學習乘法過程，逐步發展「倍」的概念，做為統整乘法應用情境的語言。,"N-1-2,R-1-1","N-2-7,N-2-8,N-2-9,R-2-3",N,
17,二年級,十十乘法,N-2-7,三年級,乘以一位數,N-3-3,N-2-7,主題,十十乘法：乘除直式計算的基礎，以熟練為目標。,,"N-2-6,N-2-9,R-2-3",N,
17,二年級,十十乘法,N-2-7,三年級,除法,N-3-4,N-2-7,主題,十十乘法：乘除直式計算的基礎，以熟練為目標。,,"N-2-6,N-2-9,R-2-3",N,
17,二年級,十十乘法,N-2-7,三年級,除以一位數,N-3-5,N-2-7,主題,十十乘法：乘除直式計算的基礎，以熟練為目標。,,"N-2-6,N-2-9,R-2-3",N,
18,二年級,兩步驟應用問題（加、減、乘）,N-2-8,三年級,兩步驟應用問題（加減與除、連乘）,N-3-7,N-2-8,主題,解題：兩步驟應用問題（加、減、乘）。加減混合、加與乘、減與乘之應用解題。不含併式。不含連乘。,,"N-2-2,N-2-6,R-2-2",N,
18,二年級,兩步驟應用問題（加、減、乘）,N-2-8,三年級,乘除應用問題,N-3-6,N-2-8,主題,解題：兩步驟應用問題（加、減、乘）。加減混合、加與乘、減與乘之應用解題。不含併式。不含連乘。,,"N-2-2,N-2-6,R-2-2",N,
18,二年級,兩步驟應用問題（加、減、乘）,N-2-8,四年級,兩步驟問題併式,R-4-1,N-2-8,主題,解題：兩步驟應用問題（加、減、乘）。加減混合、加與乘、減與乘之應用解題。不含併式。不含連乘。,,"N-2-2,N-2-6,R-2-2",N,
18,二年級,兩步驟應用問題（加、減、乘）,N-2-8,四年級,四則計算規律（I）,R-4-2,N-2-8,主題,解題：兩步驟應用問題（加、減、乘）。加減混合、加與乘、減與乘之應用解題。不含併式。不含連乘。,,"N-2-2,N-2-6,R-2-2",N,
19,二年級,分裝與平分,N-2-9,三年級,除法,N-3-4,N-2-9,主題,解題：分裝與平分。以操作活動為主。除法前置經驗。理解分裝與平分之意義與方法。引導學生在解題過程，發現問題和乘法模式的關連。,,"N-2-6,N-2-7,N-2-10",N,
19,二年級,分裝與平分,N-2-9,三年級,除以一位數,N-3-5,N-2-9,主題,解題：分裝與平分。以操作活動為主。除法前置經驗。理解分裝與平分之意義與方法。引導學生在解題過程，發現問題和乘法模式的關連。,,"N-2-6,N-2-7,N-2-10",N,
19,二年級,分裝與平分,N-2-9,三年級,幾何形體之操作,S-3-4,N-2-9,主題,解題：分裝與平分。以操作活動為主。除法前置經驗。理解分裝與平分之意義與方法。引導學生在解題過程，發現問題和乘法模式的關連。,,"N-2-6,N-2-7,N-2-10",N,
19,二年級,分裝與平分,N-2-9,三年級,乘法與除法的關係:乘除互逆。應用於驗算與解題。(同N-3-6)備註,R-3-1,N-2-9,主題,解題：分裝與平分。以操作活動為主。除法前置經驗。理解分裝與平分之意義與方法。引導學生在解題過程，發現問題和乘法模式的關連。,,"N-2-6,N-2-7,N-2-10",N,
20,二年級,單位分數的認識,N-2-10,三年級,簡單同分母分數,N-3-9,N-2-10,主題,單位分數的認識：從等分配的活動（如摺紙）認識單部分為全部的「幾分之一」。知道日常語言「的一半」、「的二分之一」、「的四分之一」的溝通意義。在已等分割之格圖中，能說明一格為全部的「幾分之一」。,R-1-1,N-2-9,N,
20,二年級,單位分數的認識,N-2-10,三年級,一位小數,N-3-10,N-2-10,主題,單位分數的認識：從等分配的活動（如摺紙）認識單部分為全部的「幾分之一」。知道日常語言「的一半」、「的二分之一」、「的四分之一」的溝通意義。在已等分割之格圖中，能說明一格為全部的「幾分之一」。,R-1-1,N-2-9,N,
21,二年級,長度,N-2-11,三年級,整數數線,N-3-11,N-2-11,主題,長度：「公分」、「公尺」。實測、量感、估測與計算。單位換算。,"N-1-5,S-1-1","S-2-3,S-2-4,R-2-1",N,
21,二年級,長度,N-2-11,三年級,長度,N-3-12,N-2-11,主題,長度：「公分」、「公尺」。實測、量感、估測與計算。單位換算。,"N-1-5,S-1-1","S-2-3,S-2-4,R-2-1",N,
22,二年級,容量、重量、面積,N-2-12,三年級,面積,N-3-14,N-2-12,主題,容量、重量、面積：以操作活動為主。此階段量的教學應包含初步認識、直接比較、間接比較（含個別單位）。不同的量應分不同的單元學習。,N-1-5,"R-2-1,S-2-5",N,
22,二年級,容量、重量、面積,N-2-12,三年級,容量,N-3-15,N-2-12,主題,容量、重量、面積：以操作活動為主。此階段量的教學應包含初步認識、直接比較、間接比較（含個別單位）。不同的量應分不同的單元學習。,N-1-5,"R-2-1,S-2-5",N,
22,二年級,容量、重量、面積,N-2-12,三年級,重量,N-3-16,N-2-12,主題,容量、重量、面積：以操作活動為主。此階段量的教學應包含初步認識、直接比較、間接比較（含個別單位）。不同的量應分不同的單元學習。,N-1-5,"R-2-1,S-2-5",N,
23,二年級,鐘面的時刻,N-2-13,三年級,時間,N-3-17,N-2-13,主題,鐘面的時刻：以操作活動為主。以鐘面時針與分針之位置認識「幾時幾分」。含兩整時時刻之間的整時點數（時間加減的前置經驗）。,N-1-6,N-2-14,N,
24,二年級,時間,N-2-14,,,,N-2-14,主題,時間：「年」、「月」、「星期」、「日」。理解所列時間單位之關係與約定。,N-1-6,N-2-13,N,
25,二年級,物體之幾何特徵,S-2-1,三年級,正方形和長方形,S-3-2,S-2-1,主題,物體之幾何特徵：以操作活動為主。進行辨認與描述之活動。藉由實際物體認識簡單幾何形體（包含平面圖形與立體形體），並連結幾何概念（如長、短、大、小等）。,S-1-2,"S-2-2,D-2-1",S,
25,二年級,物體之幾何特徵,S-2-1,三年級,圓,S-3-3,S-2-1,主題,物體之幾何特徵：以操作活動為主。進行辨認與描述之活動。藉由實際物體認識簡單幾何形體（包含平面圖形與立體形體），並連結幾何概念（如長、短、大、小等）。,S-1-2,"S-2-2,D-2-1",S,
26,二年級,簡單幾何形體,S-2-2,三年級,角與角度（同N-3-13）,S-3-1,S-2-2,主題,簡單幾何形體：以操作活動為主。包含平面圖形與立體形體。辨認與描述平面圖形與立體形體的幾何特徵並做分類。,S-1-2,"S-2-1,S-2-3,D-2-1,S-2-4",S,
26,二年級,簡單幾何形體,S-2-2,三年級,正方形和長方形,S-3-2,S-2-2,主題,簡單幾何形體：以操作活動為主。包含平面圖形與立體形體。辨認與描述平面圖形與立體形體的幾何特徵並做分類。,S-1-2,"S-2-1,S-2-3,D-2-1,S-2-4",S,
26,二年級,簡單幾何形體,S-2-2,三年級,幾何形體之操作,S-3-4,S-2-2,主題,簡單幾何形體：以操作活動為主。包含平面圖形與立體形體。辨認與描述平面圖形與立體形體的幾何特徵並做分類。,S-1-2,"S-2-1,S-2-3,D-2-1,S-2-4",S,
26,二年級,簡單幾何形體,S-2-2,三年級,圓,S-3-3,S-2-2,主題,簡單幾何形體：以操作活動為主。包含平面圖形與立體形體。辨認與描述平面圖形與立體形體的幾何特徵並做分類。,S-1-2,"S-2-1,S-2-3,D-2-1,S-2-4",S,
26,二年級,簡單幾何形體,S-2-2,四年級,三角形,S-4-7,S-2-2,主題,簡單幾何形體：以操作活動為主。包含平面圖形與立體形體。辨認與描述平面圖形與立體形體的幾何特徵並做分類。,S-1-2,"S-2-1,S-2-3,D-2-1,S-2-4",S,
27,二年級,直尺操作,S-2-3,三年級,一位小數,N-3-10,S-2-3,主題,直尺操作：測量長度。報讀公分數。指定長度之線段作圖。,N-1-5,"N-2-11,S-2-4,S-2-2",S,
27,二年級,直尺操作,S-2-3,三年級,整數數線,N-3-11,S-2-3,主題,直尺操作：測量長度。報讀公分數。指定長度之線段作圖。,N-1-5,"N-2-11,S-2-4,S-2-2",S,
27,二年級,直尺操作,S-2-3,三年級,長度,N-3-12,S-2-3,主題,直尺操作：測量長度。報讀公分數。指定長度之線段作圖。,N-1-5,"N-2-11,S-2-4,S-2-2",S,
28,二年級,平面圖形的邊長,S-2-4,三年級,正方形和長方形,S-3-2,S-2-4,主題,平面圖形的邊長：以操作活動與直尺實測為主。認識特殊幾何圖形的邊長關係。含周長的計算活動。,,"N-2-11,S-2-2,S-2-3",S,
29,二年級,面積(同N-2-12),S-2-5,,,,S-2-5,主題,面積(同N-2-12)：以具體操作為主。初步認識、直接比較、間接比較（含個別單位）。,,N-2-12,S,
30,二年級,大小關係與遞移律,R-2-1,,,,R-2-1,主題,大小關係與遞移律：「>」與「<」符號在算式中的意義，大小的遞移關係。,R-1-1,"N-2-1,N-2-11,N-2-12",R,
31,二年級,三數相加，順序改變不影響其和,R-2-2,,,,R-2-2,主題,三數相加，順序改變不影響其和：加法交換律和結合律的綜合。可併入其他教學活動。,R-1-2,N-2-8,R,
32,二年級,兩數相乘的順序不影響其積,R-2-3,,,,R-2-3,主題,兩數相乘的順序不影響其積：乘法交換律。可併入其他教學活動。,,"N-2-6,N-2-7",R,
33,二年級,加法與減法的關係,R-2-4,,,,R-2-4,主題,加法與減法的關係：加減互逆。應用於驗算與解題。,N-1-3,N-2-3,R,
34,二年級,分類與呈現,D-2-1,三年級,一維表格與二維表格,D-3-1,D-2-1,主題,分類與呈現：以操作活動為主。能蒐集、分類、記錄、呈現資料、生活物件或幾何形體。討論分類之中還可以再分類的情況。,D-1-1,"S-2-1,S-2-2",D,
35,三年級,一萬以內的數,N-3-1,四年級,一億以內的數,N-4-1,N-3-1,主題,"一萬以內的數:含位值積木操作活動。結合點數、位值表徵、位值表。位值單位「千」。位值單位換算。
 備註:教學可進行到最後的「一萬」，但不進行超過一萬的教學。",N-2-1,"N-3-2,N-3-3,N-3-5,N-3-8,N-3-11",N,
35,三年級,一萬以內的數,N-3-1,四年級,長度,N-4-9,N-3-1,主題,"一萬以內的數:含位值積木操作活動。結合點數、位值表徵、位值表。位值單位「千」。位值單位換算。
 備註:教學可進行到最後的「一萬」，但不進行超過一萬的教學。",N-2-1,"N-3-2,N-3-3,N-3-5,N-3-8,N-3-11",N,
36,三年級,加減直式計算,N-3-2,,,,N-3-2,主題,加減直式計算：含加、減法多次進、退位。備註：須處理數字中有0的題型。教學可先在有位值的表格中學習計算。,N-2-2,N-3-1,N,
37,三年級,乘以一位數,N-3-3,四年級,較大位數之乘除計算,N-4-2,N-3-3,主題,乘以一位數：乘法直式計算。教師用位值的概念說明直式計算的合理性。被乘數為二、三位數。備註：需處理被乘數有0的題型。教學可先在有位值的表格中學習計算。最後需能以一列算出答案。多位數乘以一位數隱含之分配律來自操作經驗與數感，而非分配律教學。,"N-2-6,N-2-7","N-4-2,N-3-1,N-3-8",N,
38,三年級,除法,N-3-4,五年級,公因數和公倍數,N-5-3,N-3-4,主題,"除法：除法的意義與應用。基於N-2-9之學習，透過幾個一數的解題方法，理解如何用乘法解決除法問題，熟練十十乘法範圍的除法，作為估商的基礎。
 備註:建議先處理整除情境，在處理有餘數的情境。教學中應有乘、除法並陳之單元，讓學生能主動察覺乘法與除法的問題差異。","N-2-9,N-2-6,N-2-7","N-3-5,N-3-6,R-3-1,N-3-7,N-3-8,S-3-4,R-3-2",N,
38,三年級,除法,N-3-4,五年級,整數相除之分數表示,N-5-6,N-3-4,主題,"除法：除法的意義與應用。基於N-2-9之學習，透過幾個一數的解題方法，理解如何用乘法解決除法問題，熟練十十乘法範圍的除法，作為估商的基礎。
 備註:建議先處理整除情境，在處理有餘數的情境。教學中應有乘、除法並陳之單元，讓學生能主動察覺乘法與除法的問題差異。","N-2-9,N-2-6,N-2-7","N-3-5,N-3-6,R-3-1,N-3-7,N-3-8,S-3-4,R-3-2",N,
39,三年級,除以一位數,N-3-5,四年級,較大位數之乘除計算,N-4-2,N-3-5,主題,"除以一位數：除數直式計算。教師用位值的概念說明直式計算的合理性。被除數為二、三位數。
 備註:需處理被除數有0的題型。","N-2-9,N-2-7","N-3-4,N-3-1",N,
40,三年級,乘除應用問題,N-3-6,四年級,兩步驟應用問題(乘除，連除),N-4-3,N-3-6,主題,"解題：乘除應用問題。乘數、被乘數、除數、被除數未知之應用解題。連結乘與除的關係（R-3-1）。
 備註：可使用解題策略協助學生理解與轉化問題（例如「倍」的語言、空格算式、乘除互逆等）。本條目不須另立單元教學。",N-2-8,"N-3-4,S-3-4,R-3-1",N,
40,三年級,乘除應用問題,N-3-6,四年級,兩步驟問題併式,R-4-1,N-3-6,主題,"解題：乘除應用問題。乘數、被乘數、除數、被除數未知之應用解題。連結乘與除的關係（R-3-1）。
 備註：可使用解題策略協助學生理解與轉化問題（例如「倍」的語言、空格算式、乘除互逆等）。本條目不須另立單元教學。",N-2-8,"N-3-4,S-3-4,R-3-1",N,
41,三年級,兩步驟應用問題（加減與除、連乘）,N-3-7,四年級,兩步驟應用問題(乘除，連除),N-4-3,N-3-7,主題,解題：兩步驟應用問題（加減與除、連乘）。連乘、加與除、減與除之應用解題。不含併式。備註：乘除混合、連除在四年級（N-4-3）。,N-2-8,"N-3-4,N-3-12",N,
41,三年級,兩步驟應用問題（加減與除、連乘）,N-3-7,四年級,兩步驟問題併式,R-4-1,N-3-7,主題,解題：兩步驟應用問題（加減與除、連乘）。連乘、加與除、減與除之應用解題。不含併式。備註：乘除混合、連除在四年級（N-4-3）。,N-2-8,"N-3-4,N-3-12",N,
41,三年級,兩步驟應用問題（加減與除、連乘）,N-3-7,四年級,四則計算規律（I）,R-4-2,N-3-7,主題,解題：兩步驟應用問題（加減與除、連乘）。連乘、加與除、減與除之應用解題。不含併式。備註：乘除混合、連除在四年級（N-4-3）。,N-2-8,"N-3-4,N-3-12",N,
42,三年級,四則估算,N-3-8,四年級,解題,N-4-4,N-3-8,主題,解題：四則估算。具體生活情境。較大位數之估算策略。能用估算檢驗計算結果的合理性。備註：估算解題的布題應貼近生活情境。本年級剛學除法，因此估算問題須簡單。,N-2-4,"N-3-3,N-3-4,N-3-1",N,
43,三年級,簡單同分母分數,N-3-9,四年級,同分母分數,N-4-5,N-3-9,主題,"簡單同分母分數：結合操作活動與整數經驗。簡單同分母分數比較、加、減的意義。牽涉之分數與運算結果皆不超過2。以單位分數之點數為基礎，連結整數之比較、加、減。知道「和等於1」的意義。
 備註：本年級分數教學只用「分數」一詞，不出現「真分數」與「假分數」的名詞，也不含帶分數的教學（N-4-5）。應區分真分數與假分數之教學（例如分開於上、下學期）。初步認識分數的應用時，情境應以連續量為主。若要處理離散量情境，必須與連續模型表徵強烈結合，而且其計數單位須為以整體數量為分母的單位分數（如1盒餅乾有6塊，則只處理分母6之分數，不處理2或3的情況）。",N-2-10,N-3-10,N,
43,三年級,簡單同分母分數,N-3-9,四年級,等值分數,N-4-6,N-3-9,主題,"簡單同分母分數：結合操作活動與整數經驗。簡單同分母分數比較、加、減的意義。牽涉之分數與運算結果皆不超過2。以單位分數之點數為基礎，連結整數之比較、加、減。知道「和等於1」的意義。
 備註：本年級分數教學只用「分數」一詞，不出現「真分數」與「假分數」的名詞，也不含帶分數的教學（N-4-5）。應區分真分數與假分數之教學（例如分開於上、下學期）。初步認識分數的應用時，情境應以連續量為主。若要處理離散量情境，必須與連續模型表徵強烈結合，而且其計數單位須為以整體數量為分母的單位分數（如1盒餅乾有6塊，則只處理分母6之分數，不處理2或3的情況）。",N-2-10,N-3-10,N,
43,三年級,簡單同分母分數,N-3-9,四年級,數線與分數、小數,N-4-8,N-3-9,主題,"簡單同分母分數：結合操作活動與整數經驗。簡單同分母分數比較、加、減的意義。牽涉之分數與運算結果皆不超過2。以單位分數之點數為基礎，連結整數之比較、加、減。知道「和等於1」的意義。
 備註：本年級分數教學只用「分數」一詞，不出現「真分數」與「假分數」的名詞，也不含帶分數的教學（N-4-5）。應區分真分數與假分數之教學（例如分開於上、下學期）。初步認識分數的應用時，情境應以連續量為主。若要處理離散量情境，必須與連續模型表徵強烈結合，而且其計數單位須為以整體數量為分母的單位分數（如1盒餅乾有6塊，則只處理分母6之分數，不處理2或3的情況）。",N-2-10,N-3-10,N,
44,三年級,一位小數,N-3-10,四年級,二位小數,N-4-7,N-3-10,主題,"一位小數：認識小數與小數點。結合點數、位值表徵、位值表。位值單位「十分位」。位值單位換算。比較、加減（含直式計算）與解題。
 備註：小數之學習必須與整數經驗緊密連繫。小數應用情境應以連續量為主。","N-2-10,S-2-3","N-3-9,N-3-12,N-3-15",N,
45,三年級,整數數線,N-3-11,四年級,數線與分數、小數,N-4-8,N-3-11,主題,"整數數線：認識數線，含報讀與標示。連結數序、長度、尺的經驗，理解在數線上做比較、加、減的意義。
 備註：數線須從0開始。運用長度加減法（N-2-11），，理解在數線上做加、減的意義。","N-2-11,S-2-3",N-3-1,N,
46,三年級,長度,N-3-12,四年級,長度,N-4-9,N-3-12,主題,長度：「毫米」。實測、量感、估測與計算。單位換算。備註：基於N-3-1的限制，單位換算時，公尺數限個位數。自3年級後，量的計算可使用複名數協助加減計算（複名數不做乘除）。,"N-2-11,S-2-3","N-3-7,N-3-10",N,
47,三年級,角與角度,N-3-13,四年級,角度,N-4-10,N-3-13,主題,"角與角度（同S-3-1）：以具體操作為主。初步認識角和角度。角度的直接比較與間接比較。認識直角。
 備註：用直尺或三角板的直角來認識與複製直角。教學應處理角大小與邊長長短或面積大小混淆之常見錯誤。",,"S-3-1,S-3-2",N,
47,三年級,角與角度,N-3-13,四年級,解題,S-4-2,N-3-13,主題,"角與角度（同S-3-1）：以具體操作為主。初步認識角和角度。角度的直接比較與間接比較。認識直角。
 備註：用直尺或三角板的直角來認識與複製直角。教學應處理角大小與邊長長短或面積大小混淆之常見錯誤。",,"S-3-1,S-3-2",N,
48,三年級,面積,N-3-14,四年級,面積,N-4-11,N-3-14,主題,"面積：「平方公分」。實測、量感、估測與計算。
 備註：應用平方公分板（百格圖），協助點數簡單圖形如正方形、長方形、三角形之面積，但不發展一般公式。",N-2-12,S-3-2,N,
49,三年級,容量,N-3-15,五年級,解題：容積,N-5-15,N-3-15,主題,"容量：「公升」、「毫升」。實測、量感、估測與計算。單位換算。
 備註：基於N-3-1的限制，單位換算公升數限個位數。可使用複名數協助加減計算（複名數不做乘除）。",N-2-12,N-3-10,N,
50,三年級,重量,N-3-16,五年級,重量,N-5-13,N-3-16,主題,"重量：「公斤」、「公克」。實測、量感、估測與計算。單位換算。
 備註：基於N-3-1的限制，單位換算公升數限個位數。可使用複名數協助加減計算（複名數不做乘除）。",N-2-12,,N,
51,三年級,時間,N-3-17,四年級,解題,N-4-13,N-3-17,主題,"時間：「日」、「時」、「分」、「秒」。實測、量感、估測與計算。時間單位的換算。認識時間加減問題的類型。
 備註:時間加減問題以認識加減問題類型為原則(較深入者見N-4-13)，處理時刻或時間量等常見加減問題。本年級加減限(1)同單位時間量;(2)時、分複名數加減(無進、退位)。",N-2-13,,N,
52,三年級,角與角度（同N-3-13）,S-3-1,四年級,角度,N-4-10,S-3-1,主題,角與角度（同N-3-13）：以具體操作為主。初步認識角和角度。角度的直接比較與間接比較。認識直角。備註：用直尺或三角板的直角來認識與複製直角。教學應處理角大小與邊長長短或面積大小混淆之常見錯誤。,S-2-2,"N-3-13,S-3-2",S,
52,三年級,角與角度（同N-3-13）,S-3-1,四年級,解題,S-4-2,S-3-1,主題,角與角度（同N-3-13）：以具體操作為主。初步認識角和角度。角度的直接比較與間接比較。認識直角。備註：用直尺或三角板的直角來認識與複製直角。教學應處理角大小與邊長長短或面積大小混淆之常見錯誤。,S-2-2,"N-3-13,S-3-2",S,
52,三年級,角與角度（同N-3-13）,S-3-1,四年級,垂直與平行,S-4-5,S-3-1,主題,角與角度（同N-3-13）：以具體操作為主。初步認識角和角度。角度的直接比較與間接比較。認識直角。備註：用直尺或三角板的直角來認識與複製直角。教學應處理角大小與邊長長短或面積大小混淆之常見錯誤。,S-2-2,"N-3-13,S-3-2",S,
53,三年級,正方形和長方形,S-3-2,四年級,正方形與長方形的面積與周長,S-4-3,S-3-2,主題,正方形和長方形：以邊與角的特徵來定義正方形和長方形。備註：知道如何判斷斜擺的長方形或正方形依舊是長方形或正方形。,"S-2-1,S-2-2,S-2-4","N-3-13,S-3-1,N-3-14,S-3-4",S,
